run_type,dataset,model,prompt_mode,challenge_group,categories,weighted_iou,mean_iou,mean_boundary_f1,category_count,instance_count
baseline,isaac_official_unitree_g1,mask_rcnn,inference,scene_support_and_background,"background_fixture, storage_bin, workbench",0.7831765031158571,0.7147356588052641,0.5552774155933197,3,911
zero_shot,blenderproc_cogar_sim,sam_vit_b,point,transparent_reflective_surfaces,"glass_object, metal_part",0.7904401869822898,0.7790618880360657,0.762406162505373,2,1503
baseline,blenderproc_cogar_sim,mask_rcnn,inference,robot_and_occlusion,robot_gripper,0.7933141177208219,0.7933141177208219,0.7278928174264476,1,73
zero_shot,ocid,sam2_hiera_large,automatic,other,object,0.7938377895836044,0.7938377895836044,0.7483256512304591,1,21487
zero_shot,blenderproc_cogar_sim,sam_vit_b,point,scene_support_and_background,"box, table",0.7958779488596787,0.8270683821412974,0.7195158970058808,2,2269
zero_shot,isaac_official_unitree_g1,sam_vit_h,automatic,scene_support_and_background,"background_fixture, storage_bin, workbench",0.7980589905302138,0.7906331722904784,0.7684500613947313,3,17683
zero_shot,ocid,fastsam_x,automatic,other,object,0.7982308704892809,0.7982308704892809,0.7489893482313883,1,21487
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,point,scene_support_and_background,"box, table",0.7990679526276149,0.8439759465203907,0.779796442344628,2,2269
zero_shot,blenderproc_cogar_sim,fastsam_x,automatic,small_parts_thin_structures,"cable, connector, screw, tool",0.7992245002336897,0.7945426424061562,0.8500658779799867,4,2368
baseline,blenderproc_cogar_sim,yolo8_seg,inference,small_parts_thin_structures,"cable, connector, screw, tool",0.800289617189301,0.7644049780810249,0.8351252394606843,4,90
baseline,blenderproc_cogar_sim,yolo8_seg,inference,other,plastic_object,0.8016522947330887,0.8016522947330887,0.8384991216318698,1,32
zero_shot,blenderproc_cogar_sim,sam_vit_h,point,transparent_reflective_surfaces,"glass_object, metal_part",0.8060570019569099,0.798583518698041,0.7892865095720671,2,1503
baseline,ocid,mask_rcnn,inference,other,object,0.8123703626805883,0.8123703626805883,0.7343935367651694,1,531
zero_shot,blenderproc_cogar_sim,sam2_hiera_large,automatic,transparent_reflective_surfaces,"glass_object, metal_part",0.8124872191535752,0.7977651508646448,0.818156252073841,2,1503
zero_shot,blenderproc_cogar_sim,sam_vit_b,point,small_parts_thin_structures,"cable, connector, screw, tool",0.8136609073419373,0.8024079781570368,0.8562177864227576,4,2368
zero_shot,isaac_official_unitree_g1,sam2_hiera_large,box,transparent_reflective_surfaces,"metal_part, transparent_glass",0.8158721989848626,0.8215462422245821,0.8961938919954231,2,9991
baseline,isaac_official_unitree_g1,yolo8_seg,inference,scene_support_and_background,"background_fixture, storage_bin, workbench",0.8165324342912396,0.805082146736391,0.7295096932437737,3,911
